Subject,Condition,Mean_Cadence,SD_Cadence,Mean_FSA,SD_FSA,Mean_LR,SD_LR,Note
LR_01,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_01,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_01,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_01,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_01,LOAD2,,,,,,,Could not process it due to technical issue during measurement
LR_02,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_02,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_02,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_02,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_02,LOAD2,,,,,,,Could not process it due to technical issue during measurement
LR_03,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_03,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_03,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_03,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_03,LOAD2,,,,,,,Could not process it due to technical issue during measurement
LR_04,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_04,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_04,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_04,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_04,LOAD2,,,,,,,Could not process it due to technical issue during measurement
LR_05,BSL,169.6713677,32.55057008,10.80302327,7.663213324,91.00089237,15.10484183,
LR_05,CAD,183.177532,50.7141627,9.042814171,5.909476471,93.87080884,15.15594649,
LR_05,FSA,186.4225692,5.777635971,-2.54354064,2.055146613,49.77838606,7.553949922,
LR_05,LOAD1,180.4023283,5.822170477,6.894250166,6.791369298,63.10614148,16.21037058,
LR_05,LOAD2,195.0582016,8.621192549,-0.601511217,2.166197273,49.91934289,10.25078569,
LR_06,BSL,177.9145933,5.444757564,6.19500144,4.454170628,83.592003,14.7795759,
LR_06,CAD,198.2977778,13.73624848,1.319960526,1.981546331,67.10704927,14.13842686,
LR_06,FSA,178.6785328,5.57618436,1.375044071,1.540936787,72.26592989,14.18565837,
LR_06,LOAD1,175.9026721,4.820855604,-1.073328,2.206954961,60.99291815,11.83631383,
LR_06,LOAD2,214.9802443,40.77694104,-0.268560197,4.114276669,58.9787222,25.87631948,
LR_07,BSL,173.817056,3.050437172,6.152374603,2.545018597,95.15019308,16.46325653,
LR_07,CAD,192.693051,8.912879243,-10.22732904,3.489068025,32.68408921,7.798106479,
LR_07,FSA,176.9432018,4.372176227,-3.313368763,2.216703595,42.51286703,7.428457461,
LR_07,LOAD1,163.3322244,6.535661685,0.640489977,5.287783186,59.3034822,25.04588847,
LR_07,LOAD2,152.9426429,13.62046979,-5.530300531,3.418651744,40.14413238,7.544176296,
LR_08,BSL,,,,,,,"Could not process it because it showed no data for FSA. During the measurement, problems with Vicon who did not draw lines and forces were incorrec. The feedback wasnt working so we continued with the running ecnomy"
LR_08,CAD,,,,,,,"Could not process it because it showed no data for FSA. During the measurement, problems with Vicon who did not draw lines and forces were incorrec. The feedback wasnt working so we continued with the running ecnomy"
LR_08,FSA,,,,,,,"Could not process it because it showed no data for FSA. During the measurement, problems with Vicon who did not draw lines and forces were incorrec. The feedback wasnt working so we continued with the running ecnomy"
LR_08,LOAD1,,,,,,,"Could not process it because it showed no data for FSA. During the measurement, problems with Vicon who did not draw lines and forces were incorrec. The feedback wasnt working so we continued with the running ecnomy"
LR_08,LOAD2,,,,,,,"Could not process it because it showed no data for FSA. During the measurement, problems with Vicon who did not draw lines and forces were incorrec. The feedback wasnt working so we continued with the running ecnomy"
